"timestamp","host_id","property_name","new_value"
46800,"AS0","energy_mix","Biomass:7.96;Fossil Brown coal/Lignite:15.49;Fossil Coal-derived gas:1.07;Fossil Gas:25.01;Fossil Hard coal:7.93;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.21;Hydro Run-of-river and pondage:1.64;Hydro Water Reservoir:0.09;Other renewable:0.14;Solar:13.25;Waste:1.23;Wind Offshore:9.65;Wind Onshore:15.48;Other:0.60"
47700,"AS0","energy_mix","Biomass:8.04;Fossil Brown coal/Lignite:16.04;Fossil Coal-derived gas:1.08;Fossil Gas:25.47;Fossil Hard coal:8.10;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.18;Hydro Run-of-river and pondage:1.66;Hydro Water Reservoir:0.12;Other renewable:0.14;Solar:11.95;Waste:1.24;Wind Offshore:9.99;Wind Onshore:15.16;Other:0.58"
48600,"AS0","energy_mix","Biomass:8.19;Fossil Brown coal/Lignite:15.64;Fossil Coal-derived gas:1.05;Fossil Gas:26.05;Fossil Hard coal:8.39;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.24;Hydro Run-of-river and pondage:1.67;Hydro Water Reservoir:0.15;Other renewable:0.14;Solar:10.64;Waste:1.26;Wind Offshore:10.40;Wind Onshore:15.33;Other:0.60"
49500,"AS0","energy_mix","Biomass:8.26;Fossil Brown coal/Lignite:15.79;Fossil Coal-derived gas:1.01;Fossil Gas:26.31;Fossil Hard coal:8.79;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:0.93;Hydro Run-of-river and pondage:1.70;Hydro Water Reservoir:0.16;Other renewable:0.15;Solar:8.91;Waste:1.25;Wind Offshore:10.59;Wind Onshore:15.29;Other:0.61"
50400,"AS0","energy_mix","Biomass:8.44;Fossil Brown coal/Lignite:16.42;Fossil Coal-derived gas:1.04;Fossil Gas:26.76;Fossil Hard coal:9.23;Fossil Oil:0.22;Geothermal:0.04;Hydro Pumped Storage:0.24;Hydro Run-of-river and pondage:1.73;Hydro Water Reservoir:0.06;Other renewable:0.15;Solar:7.03;Waste:1.29;Wind Offshore:10.83;Wind Onshore:15.91;Other:0.61"
51300,"AS0","energy_mix","Biomass:8.53;Fossil Brown coal/Lignite:16.82;Fossil Coal-derived gas:1.03;Fossil Gas:26.94;Fossil Hard coal:9.33;Fossil Oil:0.22;Geothermal:0.05;Hydro Pumped Storage:0.67;Hydro Run-of-river and pondage:1.74;Hydro Water Reservoir:0.08;Other renewable:0.15;Solar:5.14;Waste:1.30;Wind Offshore:10.96;Wind Onshore:16.41;Other:0.63"
52200,"AS0","energy_mix","Biomass:8.66;Fossil Brown coal/Lignite:17.26;Fossil Coal-derived gas:1.11;Fossil Gas:27.24;Fossil Hard coal:9.43;Fossil Oil:0.22;Geothermal:0.05;Hydro Pumped Storage:0.59;Hydro Run-of-river and pondage:1.75;Hydro Water Reservoir:0.08;Other renewable:0.15;Solar:3.35;Waste:1.30;Wind Offshore:11.23;Wind Onshore:16.95;Other:0.63"
53100,"AS0","energy_mix","Biomass:8.62;Fossil Brown coal/Lignite:17.32;Fossil Coal-derived gas:1.10;Fossil Gas:26.98;Fossil Hard coal:9.51;Fossil Oil:0.22;Geothermal:0.05;Hydro Pumped Storage:1.56;Hydro Run-of-river and pondage:1.74;Hydro Water Reservoir:0.21;Other renewable:0.11;Solar:1.81;Waste:1.30;Wind Offshore:11.26;Wind Onshore:17.60;Other:0.61"
54000,"AS0","energy_mix","Biomass:8.75;Fossil Brown coal/Lignite:17.56;Fossil Coal-derived gas:1.10;Fossil Gas:27.10;Fossil Hard coal:9.78;Fossil Oil:0.22;Geothermal:0.05;Hydro Pumped Storage:0.63;Hydro Run-of-river and pondage:1.74;Hydro Water Reservoir:0.10;Other renewable:0.11;Solar:0.75;Waste:1.30;Wind Offshore:11.40;Wind Onshore:18.79;Other:0.62"
54900,"AS0","energy_mix","Biomass:8.50;Fossil Brown coal/Lignite:17.04;Fossil Coal-derived gas:1.05;Fossil Gas:26.17;Fossil Hard coal:9.63;Fossil Oil:0.21;Geothermal:0.04;Hydro Pumped Storage:2.99;Hydro Run-of-river and pondage:1.67;Hydro Water Reservoir:0.14;Other renewable:0.10;Solar:0.19;Waste:1.26;Wind Offshore:11.23;Wind Onshore:19.16;Other:0.62"
