"timestamp","host_id","property_name","new_value"
47700,"AS0","energy_mix","Biomass:1.90;Fossil Brown coal/Lignite:9.92;Fossil Coal-derived gas:0.68;Fossil Gas:16.97;Fossil Hard coal:33.98;Fossil Oil:1.09;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.31;Solar:4.23;Wind Onshore:27.48;Other:3.10"
48600,"AS0","energy_mix","Biomass:1.90;Fossil Brown coal/Lignite:9.88;Fossil Coal-derived gas:0.68;Fossil Gas:17.75;Fossil Hard coal:33.42;Fossil Oil:1.08;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.31;Solar:3.74;Wind Onshore:27.83;Other:3.07"
49500,"AS0","energy_mix","Biomass:1.89;Fossil Brown coal/Lignite:10.00;Fossil Coal-derived gas:0.68;Fossil Gas:16.96;Fossil Hard coal:33.75;Fossil Oil:1.09;Hydro Pumped Storage:0.61;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.10;Other renewable:0.31;Solar:2.98;Wind Onshore:28.30;Other:3.09"
50400,"AS0","energy_mix","Biomass:1.90;Fossil Brown coal/Lignite:10.43;Fossil Coal-derived gas:0.68;Fossil Gas:16.35;Fossil Hard coal:34.29;Fossil Oil:1.10;Hydro Pumped Storage:0.74;Hydro Run-of-river and pondage:0.36;Hydro Water Reservoir:0.14;Other renewable:0.31;Solar:2.20;Wind Onshore:28.37;Other:3.13"
51300,"AS0","energy_mix","Biomass:1.90;Fossil Brown coal/Lignite:10.62;Fossil Coal-derived gas:0.69;Fossil Gas:15.76;Fossil Hard coal:34.90;Fossil Oil:1.10;Hydro Pumped Storage:0.74;Hydro Run-of-river and pondage:0.36;Hydro Water Reservoir:0.14;Other renewable:0.31;Solar:1.52;Wind Onshore:28.83;Other:3.13"
52200,"AS0","energy_mix","Biomass:1.88;Fossil Brown coal/Lignite:10.84;Fossil Coal-derived gas:0.68;Fossil Gas:16.89;Fossil Hard coal:34.65;Fossil Oil:1.08;Hydro Pumped Storage:0.73;Hydro Run-of-river and pondage:0.36;Hydro Water Reservoir:0.14;Other renewable:0.31;Solar:0.97;Wind Onshore:28.41;Other:3.06"
53100,"AS0","energy_mix","Biomass:1.87;Fossil Brown coal/Lignite:10.67;Fossil Coal-derived gas:0.69;Fossil Gas:16.87;Fossil Hard coal:34.93;Fossil Oil:1.08;Hydro Pumped Storage:0.73;Hydro Run-of-river and pondage:0.36;Hydro Water Reservoir:0.14;Other renewable:0.31;Solar:0.36;Wind Onshore:28.93;Other:3.06"
54000,"AS0","energy_mix","Biomass:1.86;Fossil Brown coal/Lignite:10.85;Fossil Coal-derived gas:0.68;Fossil Gas:17.18;Fossil Hard coal:34.27;Fossil Oil:1.07;Hydro Pumped Storage:0.73;Hydro Run-of-river and pondage:0.38;Hydro Water Reservoir:0.15;Other renewable:0.30;Solar:0.00;Wind Onshore:29.47;Other:3.06"
54900,"AS0","energy_mix","Biomass:1.82;Fossil Brown coal/Lignite:11.33;Fossil Coal-derived gas:0.66;Fossil Gas:17.04;Fossil Hard coal:34.01;Fossil Oil:1.03;Hydro Pumped Storage:1.05;Hydro Run-of-river and pondage:0.38;Hydro Water Reservoir:0.14;Other renewable:0.30;Solar:0.00;Wind Onshore:29.25;Other:2.99"
55800,"AS0","energy_mix","Biomass:1.81;Fossil Brown coal/Lignite:11.67;Fossil Coal-derived gas:0.66;Fossil Gas:16.56;Fossil Hard coal:34.24;Fossil Oil:1.04;Hydro Pumped Storage:1.05;Hydro Run-of-river and pondage:0.37;Hydro Water Reservoir:0.14;Other renewable:0.30;Solar:0.00;Wind Onshore:29.18;Other:2.98"
